identification_id,obs_id,created_at,current,category,maverick,id_taxon_id,id_taxon_name,community_taxon_id,community_taxon_name,classification,detail
68845537,31764060,2019-08-30T01:24:06+00:00,True,improving,,53262,,,,validated,category=improving
69977874,32285664,2019-09-07T18:33:38+00:00,True,improving,,127907,,,,validated,category=improving
71195493,32868117,2019-09-16T22:19:25-04:00,True,leading,,53262,,,,validated,category=leading
116872048,52968296,2020-07-13T20:54:01+02:00,True,improving,,127907,,,,validated,category=improving
117101965,52368784,2020-07-14T19:27:27+00:00,True,supporting,,127907,,,,validated,category=supporting
119808157,54378293,2020-07-26T23:10:22+00:00,True,supporting,,127907,,,,validated,category=supporting
121745412,55435181,2020-08-04T18:27:49-04:00,True,improving,,127907,,,,validated,category=improving
124523708,56807126,2020-08-17T22:32:07-04:00,True,improving,,53262,,,,validated,category=improving
124617873,56849776,2020-08-18T18:12:39+02:00,True,improving,,127907,,,,validated,category=improving
125728227,57164207,2020-08-23T23:34:15+00:00,True,supporting,,127907,,,,validated,category=supporting
130212721,59415705,2020-09-14T07:04:57-04:00,True,supporting,,127907,,,,validated,category=supporting
130258045,58950490,2020-09-14T11:45:10-04:00,False,maverick,,127907,,,,withdrawn,not current
130267390,59506819,2020-09-14T16:27:28+00:00,True,supporting,,127907,,,,validated,category=supporting
182143029,82477862,2021-06-11T00:56:51+02:00,True,leading,,127907,,,,validated,category=leading
197864491,90473148,2021-08-09T02:10:23+02:00,True,improving,,127907,,,,validated,category=improving
200003811,91516120,2021-08-17T13:38:25+02:00,True,improving,,127907,,,,validated,category=improving
200003831,91516134,2021-08-17T13:38:30+02:00,True,improving,,127907,,,,validated,category=improving
202639537,91894584,2021-08-28T04:24:15+00:00,True,supporting,,127907,,,,validated,category=supporting
216478389,99148645,2021-10-26T00:59:41+00:00,True,improving,,131568,,,,validated,category=improving
251093580,112209406,2022-04-20T23:13:41+00:00,False,leading,,127907,,,,withdrawn,not current
252526378,112912876,2022-04-26T02:55:56+02:00,False,leading,,127907,,,,withdrawn,not current
260337592,117073296,2022-05-15T01:53:38+00:00,True,leading,,127907,,,,validated,category=leading
281383744,127317180,2022-07-22T10:21:37-04:00,True,leading,,53262,,,,validated,category=leading
281517894,127427656,2022-07-23T01:00:44+02:00,True,improving,,127907,,,,validated,category=improving
282496889,127921967,2022-07-26T01:53:11+02:00,True,improving,,127907,,,,validated,category=improving
287720072,130391714,2022-08-11T12:14:49-10:00,True,improving,,53262,,,,validated,category=improving
289701477,131352750,2022-08-18T17:16:17+00:00,False,improving,,53262,,,,withdrawn,not current
290172815,131352750,2022-08-20T12:42:04+00:00,True,supporting,,131568,,,,validated,category=supporting
290225777,131599991,2022-08-20T18:26:43+02:00,True,improving,,127907,,,,validated,category=improving
291511127,132204875,2022-08-24T23:02:41+00:00,True,improving,,131568,,,,validated,category=improving
292240130,132573278,2022-08-28T15:32:24+02:00,True,improving,,131568,,,,validated,category=improving
292327223,132632204,2022-08-28T17:21:19+00:00,True,improving,,131568,,,,validated,category=improving
292431493,132686690,2022-08-28T17:38:14-04:00,True,supporting,,127907,,,,validated,category=supporting
293410481,133149921,2022-09-01T00:27:05+00:00,True,improving,,131568,,,,validated,category=improving
327188791,58950490,2023-01-14T15:08:54-05:00,True,supporting,,131568,,,,validated,category=supporting
369307004,162027783,2023-05-30T21:09:28-04:00,False,maverick,,53262,,,,withdrawn,not current
377867855,168842144,2023-06-23T06:33:02-04:00,True,supporting,,127907,,,,validated,category=supporting
398855435,179055412,2023-08-18T22:02:53+00:00,True,improving,,127907,,,,validated,category=improving
399512143,179370287,2023-08-20T13:25:35-04:00,True,supporting,,127907,,,,validated,category=supporting
403477182,181058166,2023-08-31T20:40:58-04:00,True,supporting,,131568,,,,validated,category=supporting
403778519,181270091,2023-09-01T18:29:44-04:00,True,improving,,53262,,,,validated,category=improving
405266341,181839043,2023-09-05T17:25:31-04:00,True,improving,,127907,,,,validated,category=improving
406545702,182543159,2023-09-09T18:05:13-04:00,True,improving,,131568,,,,validated,category=improving
413697261,185831983,2023-10-01T20:18:41-04:00,True,improving,,131568,,,,validated,category=improving
423458979,189712527,2023-11-01T19:29:33-04:00,False,maverick,,127907,,,,withdrawn,not current
507478869,132738916,2024-06-29T07:54:03-04:00,True,supporting,,131568,,,,validated,category=supporting
516899445,229977607,2024-07-20T14:19:44-04:00,True,leading,,131568,,,,validated,category=leading
518439297,231201067,2024-07-23T22:04:42-04:00,True,supporting,,127907,,,,validated,category=supporting
524796144,234317629,2024-08-07T19:22:03-04:00,True,supporting,,127907,,,,validated,category=supporting
525587099,234765641,2024-08-09T19:07:46-04:00,True,supporting,,131568,,,,validated,category=supporting
526400883,98830332,2024-08-11T17:07:12-04:00,True,improving,,127907,,,,validated,category=improving
526419434,131006572,2024-08-11T23:53:51+02:00,True,leading,,127907,,,,validated,category=leading
527268420,235561722,2024-08-13T17:01:09-04:00,True,improving,,127907,,,,validated,category=improving
527276064,235257314,2024-08-13T17:23:16-04:00,True,improving,,127907,,,,validated,category=improving
531909037,237760626,2024-08-24T20:32:33-04:00,True,improving,,127907,,,,validated,category=improving
535640533,239532605,2024-09-02T21:39:25-04:00,True,improving,,127907,,,,validated,category=improving
536081613,239733274,2024-09-03T23:20:13-04:00,True,improving,,131568,,,,validated,category=improving
651157602,290765477,2025-06-18T22:48:11-04:00,True,leading,,53262,,,,validated,category=leading
657594736,294101326,2025-06-30T18:43:54-04:00,True,supporting,,127907,,,,validated,category=supporting
666182770,298545024,2025-07-16T19:56:52-04:00,True,supporting,,127907,,,,validated,category=supporting
672850264,301909841,2025-07-28T20:34:16-04:00,True,supporting,,131568,,,,validated,category=supporting
673372695,302216687,2025-07-29T19:01:05-04:00,True,improving,,127907,,,,validated,category=improving
673372700,302216690,2025-07-29T19:01:05-04:00,True,improving,,127907,,,,validated,category=improving
673376236,302218577,2025-07-29T23:09:03+00:00,True,leading,,127907,,,,validated,category=leading
678174116,304535857,2025-08-07T18:44:01-04:00,True,leading,,131568,,,,validated,category=leading
